Test,Distance(mm),Temperature(Celsius),F1(405-425nm),F2(435-455nm),F3(470-490nm),F4(505-525nm),F5(545-565nm),F6(580-600nm),F7(620-640nm),F8(670-690nm),NIR(900nm),Battery Information (Pending)
1,998,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
2,1995,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
3,2990,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
4,3998,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
5,5010,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
6,6010,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
7,6985,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
8,8010,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
9,8950,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
10,9960,23.87,1,0,1,1,1,1,1,2.1,24.4,N/A
